Pd_District,Total_Crimes,Prostitution,Vehicle_Theft,Year
CENTRAL,186646,70,1193,2003
NORTHERN,228800,581,1879,2003
INGLESIDE,169522,5,2319,2003
PARK,107467,2,1207,2003
MISSION,255285,713,2063,2003
TENDERLOIN,172040,527,371,2003
RICHMOND,97517,15,1081,2003
TARAVAL,142095,10,1665,2003
BAYVIEW,191026,11,2121,2003
SOUTHERN,339260,18,1426,2003
CENTRAL,186646,44,550,2015
NORTHERN,228800,42,944,2015
INGLESIDE,169522,4,1368,2015
PARK,107467,1,640,2015
MISSION,255285,66,1195,2015
TENDERLOIN,172040,23,113,2015
RICHMOND,97517,9,561,2015
TARAVAL,142095,79,787,2015
BAYVIEW,191026,7,981,2015
SOUTHERN,339260,96,794,2015
